Item,Location,Sublocation,Serial,Quantity
"IFL FILTER 578 NM, ˜12,  PCS","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,3
"IFL FILTER 578 NM, ˜12,  PCS","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"IGG IP, 5ML + 2X25ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"IGM IP, 5ML + 2X25ML","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
IMMUNOLOGY REAGENT PROBE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
INCUBATOR CONTROL BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"INDEX ADAPTER REPLACEMENT CAP, PK ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,1
INFANT VENTILATOR WITH HUMIDIFIER AND MITSHIBISHI PRINTER,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
INK RIBBON CASSETTE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,10
INNER TOARON TUBE 1X3,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
INNER TOARON TUBE 2X4,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
INNER TOARON TUBE 3X6,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
Inside Filling Solution(Test Electrode),"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
inspection (Stocked Product),"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
"INSULIN CHECK-1,   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,14
insurance,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"INTECH COLORIMETER, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,2
"INTECH COMPRESSOR,   PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,1
"INTECH DIGITAL FLAME PHOTOMETER,UNT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
"INTECH PIPETTE TIPS 100PC, 2-10ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,8
"INTECH PIPETTE TIPS 50PC, 1-5ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,31
"INTERLAB ELECTROPHORESIS MACHINE, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,1
INVERTER BATTYERY,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Techical,,-4
INVERTER BATTYERY,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,3
INVOICE AND DELIVERY NOTE BOOKLET,"DCL Laboratory Products Ltd, Enugu",,,1
INVOICE NUMBER 177278,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
INVOICE NUMBER 178061,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
INVOICE NUMBER 178578,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
"IPM/IMEC ROLLING STAND, KG ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,3
"IPM-10 MINDARY PATIENT MONITOR, UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
ISE BOARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"ISE CALIBRATOR, 2 X (6X20ML) ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,57
"ISE CALIBRATOR, 2 X (6X20ML) ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"ISE CLEANER & CONDITONER, 6 X 8 ML + 3 X 25 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,41
"ISE CLEANER & CONDITONER, 6 X 8 ML + 3 X 25 ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,14
"ISE CLEANER & CONDITONER, 6 X 8 ML + 3 X 25 ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"ISE DILUENT, 12X25ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,1
"ISE DILUENT, 12X25ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,70
"ISE DILUENT, 12X25ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
"ISE DRY ELECTRODE FOR SELECTRA XL, SELECTRA XL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
"ISE FILLING SOLUTION, BTL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,74
"ISE FILLING SOLUTION, BTL ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,6
"ISE MAIN BOARD,   UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
"ISE MAIN BOARD,   UNIT  ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"ISE REFERENCE SOLUTION, 1X500 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,83
"ISE REFERENCE SOLUTION, 1X500 ML ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"ISE REFERENCE SOLUTION, 1X500 ML ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"ISE REFERENCE SOLUTION, 1X500 ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,2
ISE STARTER KIT FOR SELECTRA PROS,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,2
"ISE TUBING SET, SET","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,28
"ISE TUBING SET, SET","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,8
"I-STAT ANALYZER, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,2
"I-STAT ANALYZER, UNIT ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
JACK FOR OPERATING TABLE LEG,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
JAMES  2AMP,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,9
JAUNDICE METER,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Techical,,1
"JCU BOARD ASSY,   UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",STORE 1,,1
"KERN WEIGHING BALANCE, 0.001G/200G /UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
"KERN WEIGHING BALANCE, 0.001G/200G /UNIT ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,-1
"KERN WEIGHING BALANCE, 0.1G/20000G/UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
"KERN WEIGHING BALANCE, 100G/200G 0.1G/0.2G/UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"KERN WEIGHING BALANCE, 100G/200G 0.1G/0.2G/UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
"KERN WEIGHING BALANCE, 100G/200G 0.1G/0.2G/UNIT ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"KERN WEIGHING BALANCE, 620G/0.01G/UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"KERN WEIGHING BALANCE, 650G\0.1G 0.5G/0.01G/UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
"KERN WEIGHING BALANCE, MAX 360G ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"KERN WEIGHING BALANCE, MAX 500G ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"KERN WEIGHING BALANCE, MAX 600 ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"KIT OF MEMBRANE VALVE FOR VACUUM PUMP, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,5
KYOWA  MICROSCOPE  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,2
KYOWA  MICROSCOPE  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
KYOWA BIOLOGICAL MICROSCOPE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
KYOWA OPTICAL MICROSCOPE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
KYOWA TRINOCULAR MICROSCOPE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
KYOWA TRINOCULAR MICROSCOPE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
"LAB IN A BOX  EXTRACTION EQUIPMENT, BOX ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,1
"LAB SINK,  UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,28
"LAB SINK,  UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,20
"LAB SINK,  UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,2
"LAB TAP, PCS   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,116
"LAB TAP, PCS   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,6
"LABJENIK OVEN,   UNIT   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LABJENIKS COLONY COUNTER, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,10
"LABJENIKS FULLY AUTOMATED ELECTROLYTE ANALYZER,","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,3
"LABJENIKS FULLY AUTOMATED ELECTROLYTE ANALYZER,","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,2
"LABJENIKS FULLY AUTOMATED ELECTROLYTE ANALYZER,","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
LABJENIKS OVEN,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,1
"LABJENIKS PRINTER PAPER, ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,185
"LABJENIKS PRINTER PAPER, ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,12
LABJENIKS Q-LYTE 60 SCREEN,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
LABJENIKS UPGRADE KIT,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"LABJENIKS UV/VIS SPECTROPHOTOMER, SP1200","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,5
"LABJENIKS UV/VIS SPECTROPHOTOMER, SP1200","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,2
"LABJENIKS UV/VIS SPECTROPHOTOMER, SP1200","DCL Laboratory Products Ltd, Enugu",,,1
"LABJENIKS WATER PURIFICATION SYSTEM, ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,9
"LABLINE DIFFERENTIAL BLOOD CELL COUNTER, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,1
"LABLINE DIFFERENTIAL BLOOD CELL COUNTER, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
"LABLINE ROCKING PLATEFORM, UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,2
"LABLINE ROCKING PLATEFORM, UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
Laboratory coat. single use. pack of 30  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,150
Laboratory coat. single use. pack of 30  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,30
Laboratory coat. single use. pack of 30  ,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos Warehouse,,10920
Laboratory Incubator,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,1
Laboratory Incubator,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,1
laboratory shoes,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,10
Laboratory Stools,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,17
"LABTECH DEIONIZER, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LABTECH DEIONIZER, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,14
"LACTATE, 10X10ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,3
LAMP,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,7
LAMP,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
LAMP 12V-20W,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,25
LAMP 12V-20W,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,2
"lamp and PUMP TUBE, PCS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,7
LAMP HOLDER G4,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,8
"LAMP PLATE MODULE,PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,7
"LAMP,ASSY FOR OPTIC BENCH","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"LAMP,ASSY FOR OPTIC BENCH","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,1
LANCET,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,11
LANCET,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,31
LASANY ANAEROBIC JAR  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
LASANY ANAEROBIC JAR  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,7
LASANY ANAEROBIC JAR  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 9,,37
LASANY ANAEROBIC JAR  ,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos - Showroom,,1
LASANY AUTOMIC CABINET WATER STILL ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
LASANY MULTICHANNEL PIPETTE 12CHANNELS ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
LASANY MULTICHANNEL PIPETTE 12CHANNELS ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"LASANY WATER DISTILLER, UNT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LASANY WATER DISTILLER, UNT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 8,,5
laser techometer,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,4
LASSA VIRUS(LV) REAL TIME RT-PCR KIT,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,2
LASSANY ANIMAL CAGE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,31
LASSANY ANIMAL CAGE,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,13
LASSANY AUTIMATIC PIPPETTE,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
LASSANY AUTIMATIC PIPPETTE,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos - Showroom,,1
"LASSANY BLOOD COLLECTION MONITOR, UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LASSANY COLONY COUNTER,UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LASSANY COLONY COUNTER,UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
"LASSANY COLONY COUNTER,UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,5
"LASSANY PH METER, UNIT  ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
LASSANY PIPETTE 100-1000UL ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
LASSANY PIPETTE 100-1000UL ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,250
LASSANY PIPETTE 100-1000UL ,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,2
"LASSANY PIPETTE, 0.5-10UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,33
"LASSANY PIPETTE, 10-100UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LASSANY PIPETTE, 10-100UL ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,250
"LASSANY PIPETTE, 10-100UL ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"LASSANY TEST TUBE RACK METAL, PCS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,8
"LASSANY TEST TUBE RACK METAL, PCS ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
LASSANY TEST TUBE STAND,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,24
LASSANY TEST TUBE STAND,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,7
LASSANY TEST TUBE STAND,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
LASSANY WATER BOTTLE 250ML,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,1
"LATEX FOR RBC /PLT, PC ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
"LATEX FOR RBC /PLT, PC ",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,2
"LATEX FOR RBC /PLT, PC ","DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"LATEX FOR RBC /PLT, PC ","DCL Laboratory Products Ltd, Enugu",,,1
"LATEX FOR WBC AND OPTICAL ADJUSTMENT, PC","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,3
"LATEX FOR WBC AND OPTICAL ADJUSTMENT, PC",DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,2
LCD DISPLAY SCREEN,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"LCD DISPLAY, PC   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
LCD PROJECTOR,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,1
"LCD TFT DISPLAY 5,7' LCD LVDS","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,2
L-CHECK - 1,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 7,,11
LDD-120,"DCL Laboratory Products Ltd, Enugu",,,1
"LDH-L-SL, 4X62.5 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,40
"LDL CHOLESTEROL CALIBRATOR 2G, 1X1 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,3
"LDL CHOLESTEROL CALIBRATOR 2G, 1X1 ML ","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",,,3
"LDL CHOLESTEROL DIRECT SL 2G, 1X80 ML ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Cold Room,,1
LDP PROTOCOL CARD,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
LDP PROTOCOL CARD,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
"LEAK CHECK, PCS   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 1,,1
"LED MICROSCOPE, UNIT","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 3,,2
"LEMFIELD TABLE REFRIGERATED CENTRIFUGE, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"LEMFIELD TABLE REFRIGERATED CENTRIFUGE, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 10,,1
LENOVO,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
LENOVO PC,"DCL Laboratory Products Ltd, 19 East West Road, Runuokoro. Port-Harcourt, Nigeria",,,1
"LENOVO PRINTER, PRINTER ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 5,,3
LH KIT,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,4
